
RIDE SUMMARY,
Total Time, 73.1, Minutes, 
Total Distance, 21.52, MI, 
AVG Power, 158, 
MAX Power, 1005, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 645, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
147,88,0,7.71,
154,87,0,7.73,
147,86,0,7.74,
148,85,0,7.76,
133,82,0,7.77,
156,89,0,7.79,
156,89,0,7.80,
156,87,0,7.82,
135,82,0,7.83,
135,90,0,7.85,
159,90,0,7.86,
159,91,0,7.88,
161,88,0,7.89,
153,88,0,7.91,
153,88,0,7.92,
159,88,0,7.94,
153,88,0,7.95,
154,88,0,7.97,
160,89,0,7.99,
154,89,0,8.00,
172,94,0,8.02,
171,94,0,8.03,
170,92,0,8.05,
170,94,0,8.07,
169,94,0,8.08,
171,95,0,8.10,
167,93,0,8.12,
158,90,0,8.14,
157,88,0,8.15,
152,90,0,8.17,
158,93,0,8.18,
185,95,0,8.20,
168,92,0,8.22,
185,100,0,8.23,
185,98,0,8.25,
180,97,0,8.27,
170,94,0,8.29,
177,95,0,8.31,
174,97,0,8.32,
172,95,0,8.34,
166,93,0,8.36,
166,92,0,8.38,
165,94,0,8.39,
168,93,0,8.41,
175,96,0,8.43,
173,95,0,8.44,
172,94,0,8.46,
162,91,0,8.48,
147,89,0,8.49,
141,90,0,8.51,
142,89,0,8.52,
137,80,0,8.54,
126,87,0,8.55,
135,86,0,8.57,
133,84,0,8.58,
128,84,0,8.59,
128,86,0,8.61,
138,89,0,8.62,
133,86,0,8.63,
134,85,0,8.65,
131,87,0,8.66,
135,87,0,8.67,
141,90,0,8.69,
137,87,0,8.70,
128,83,0,8.71,
141,90,0,8.73,
142,91,0,8.74,
145,91,0,8.75,
136,86,0,8.77,
131,84,0,8.78,
139,94,0,8.80,
152,93,0,8.81,
151,93,0,8.82,
149,92,0,8.84,
148,91,0,8.85,
145,90,0,8.87,
140,91,0,8.88,
140,88,0,8.90,
186,103,0,8.91,
229,100,0,8.93,
219,97,0,8.95,
200,94,0,8.97,
207,95,0,8.99,
201,95,0,9.01,
201,96,0,9.03,
201,96,0,9.05,
196,95,0,9.07,
196,94,0,9.09,
208,89,0,9.11,
224,102,0,9.13,
222,101,0,9.15,
212,99,0,9.18,
213,97,0,9.20,
