
RIDE SUMMARY,
Total Time, 70.0, Minutes, 
Total Distance, 24.06, MI, 
AVG Power, 172, 
MAX Power, 295, 
AVG RPM, 75, 
MAX RPM, 98, 
AVG HR, 128, 
MAX HR, 144, 
CAL, 721, 

STAGE_1_SUMMARY,
Stage Time, 60.8, Minutes, 
Total Distance, 21.85, MI, 
AVG Power, 179, 
MAX Power, 295, 
AVG HR, 132, 
MAX HR, 144, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
196,77,123,10.85,
187,77,123,10.87,
186,70,124,10.88,
216,82,125,10.90,
214,81,125,10.92,
207,79,127,10.94,
197,77,128,10.96,
187,76,129,10.98,
188,77,129,11.00,
189,76,130,11.02,
230,85,131,11.04,
223,82,131,11.06,
200,78,131,11.08,
196,78,131,11.11,
196,78,131,11.13,
198,83,131,11.14,
187,76,131,11.16,
178,75,132,11.19,
198,79,132,11.20,
209,80,132,11.22,
203,76,132,11.24,
172,72,132,11.26,
172,73,132,11.28,
174,73,133,11.30,
173,73,133,11.32,
171,72,133,11.33,
171,71,132,11.35,
161,70,133,11.37,
166,71,133,11.39,
174,73,132,11.40,
174,73,131,11.42,
192,78,131,11.44,
161,70,131,11.45,
159,63,131,11.47,
174,73,131,11.49,
183,75,131,11.50,
184,76,131,11.52,
186,75,131,11.54,
183,75,131,11.56,
183,75,131,11.58,
189,77,132,11.60,
187,76,131,11.61,
182,69,131,11.63,
191,77,131,11.65,
191,77,132,11.67,
191,77,133,11.69,
188,74,133,11.71,
176,72,134,11.73,
169,71,134,11.74,
174,73,135,11.76,
174,73,135,11.78,
175,75,134,11.80,
184,77,134,11.81,
187,76,134,11.83,
185,74,134,11.85,
182,90,135,11.87,
239,87,135,11.89,
221,81,136,11.91,
194,77,136,11.93,
196,91,136,11.95,
244,88,136,11.97,
233,85,137,12.00,
224,83,136,12.02,
217,85,136,12.04,
226,84,136,12.07,
222,83,136,12.09,
218,83,136,12.11,
217,82,136,12.13,
215,82,136,12.15,
207,80,137,12.18,
207,81,137,12.20,
209,82,137,12.22,
216,82,136,12.24,
215,82,137,12.26,
204,79,137,12.28,
199,78,137,12.30,
198,80,138,12.32,
196,78,138,12.34,
185,75,138,12.36,
174,69,138,12.38,
155,69,137,12.40,
156,70,137,12.42,
131,63,137,12.43,
153,70,137,12.45,
162,71,136,12.46,
174,73,136,12.48,
172,73,136,12.50,
196,76,135,12.51,
185,74,135,12.53,
170,72,135,12.55,
170,72,135,12.57,
169,71,134,12.58,
159,69,134,12.60,
159,70,133,12.62,
160,70,133,12.63,
160,69,132,12.65,
156,68,132,12.67,
205,81,131,12.68,
205,79,130,12.70,
198,77,128,12.72,
183,75,128,12.74,
182,75,128,12.76,
214,81,129,12.78,
209,81,130,12.80,
198,78,132,12.82,
197,77,133,12.84,
183,75,133,12.86,
174,74,134,12.88,
209,81,134,12.90,
209,81,134,12.91,
207,78,134,12.94,
195,77,134,12.96,
186,75,135,12.98,
185,75,135,13.00,
183,75,134,13.01,
183,75,134,13.03,
186,84,134,13.05,
214,82,133,13.07,
192,74,133,13.09,
178,74,133,13.11,
200,82,133,13.13,
210,81,134,13.15,
200,79,134,13.17,
199,78,134,13.19,
198,80,134,13.21,
204,79,134,13.23,
201,80,135,13.25,
205,82,135,13.27,
191,77,135,13.29,
211,83,135,13.31,
216,81,135,13.33,
207,78,135,13.35,
166,78,136,13.37,
191,77,136,13.39,
190,78,135,13.41,
194,78,135,13.43,
194,76,135,13.45,
184,74,136,13.47,
177,72,136,13.49,
169,71,136,13.50,
156,68,137,13.52,
155,68,137,13.54,
205,80,138,13.55,
177,70,137,13.57,
166,71,137,13.59,
167,72,136,13.61,
161,70,136,13.62,
159,69,136,13.64,
158,70,135,13.66,
162,77,135,13.67,
170,72,135,13.69,
221,83,134,13.71,
195,74,134,13.72,
177,73,133,13.74,
174,72,132,13.76,
171,72,132,13.78,
247,88,132,13.80,
221,83,132,13.82,
205,78,132,13.84,
198,79,132,13.86,
199,79,132,13.88,
141,66,132,13.90,
200,79,133,13.92,
198,78,133,13.94,
191,77,133,13.96,
188,74,133,13.98,
161,70,134,14.00,
161,70,133,14.01,
161,70,133,14.03,
162,75,133,14.05,
183,75,133,14.06,
183,76,133,14.08,
103,73,133,14.10,
101,70,134,14.12,
95,72,134,14.13,
97,73,133,14.14,
109,76,133,14.15,
109,78,132,14.16,
112,79,131,14.17,
181,80,131,14.18,
156,73,130,14.19,
195,83,130,14.21,
169,77,129,14.23,
167,75,129,14.25,
189,81,128,14.26,
178,79,128,14.28,
200,89,128,14.30,
193,80,129,14.32,
193,82,129,14.34,
185,81,131,14.36,
179,80,131,14.38,
179,80,131,14.39,
217,82,131,14.41,
216,82,132,14.43,
220,82,132,14.45,
234,85,132,14.47,
232,84,132,14.50,
226,83,132,14.52,
223,82,133,14.54,
201,82,133,14.57,
193,80,134,14.59,
202,80,135,14.61,
189,79,135,14.63,
199,78,135,14.64,
198,79,135,14.66,
223,83,135,14.68,
219,81,136,14.71,
188,78,135,14.73,
191,76,136,14.75,
183,75,135,14.77,
173,73,135,14.78,
144,76,135,14.80,
188,76,135,14.82,
177,73,135,14.84,
175,71,134,14.86,
166,72,134,14.87,
196,82,134,14.89,
201,79,135,14.91,
198,77,135,14.93,
190,77,135,14.95,
191,77,136,14.97,
186,76,136,14.99,
187,76,136,15.01,
197,79,137,15.02,
166,71,137,15.04,
167,72,137,15.06,
167,70,138,15.08,
158,81,137,15.10,
210,81,137,15.11,
199,78,137,15.13,
183,74,137,15.15,
176,72,137,15.17,
156,68,137,15.19,
148,68,137,15.21,
206,80,137,15.22,
200,78,137,15.24,
181,74,137,15.26,
179,73,136,15.28,
174,74,136,15.30,
173,72,136,15.32,
231,85,136,15.33,
227,83,136,15.35,
210,81,136,15.38,
199,78,136,15.40,
212,81,137,15.42,
190,77,137,15.44,
190,76,138,15.46,
194,79,137,15.48,
195,77,137,15.50,
190,76,137,15.52,
188,76,137,15.54,
186,76,137,15.55,
188,78,136,15.57,
195,77,136,15.59,
188,76,136,15.61,
188,80,135,15.63,
201,80,136,15.65,
221,81,136,15.67,
198,78,137,15.69,
197,78,137,15.71,
189,76,137,15.73,
188,76,137,15.75,
189,78,137,15.77,
198,79,137,15.79,
197,78,137,15.81,
186,76,137,15.83,
186,76,138,15.85,
185,77,137,15.87,
192,75,137,15.88,
184,79,136,15.90,
190,76,136,15.92,
173,72,136,15.94,
168,71,136,15.96,
168,72,136,15.98,
170,77,135,15.99,
189,80,135,16.01,
165,71,135,16.03,
166,72,135,16.05,
170,74,135,16.06,
178,74,135,16.08,
180,81,135,16.10,
199,79,135,16.12,
191,77,134,16.14,
183,74,134,16.16,
174,73,133,16.18,
173,73,133,16.19,
172,72,133,16.21,
200,84,134,16.23,
218,79,134,16.25,
191,77,135,16.27,
183,73,135,16.29,
188,76,135,16.31,
175,73,135,16.32,
162,68,135,16.34,
146,66,135,16.36,
108,66,135,16.37,
131,66,135,16.39,
145,73,135,16.40,
210,69,134,16.41,
164,66,133,16.43,
143,59,133,16.45,
137,60,132,16.47,
138,61,131,16.48,
158,72,131,16.49,
139,70,131,16.51,
156,77,131,16.52,
156,77,131,16.54,
153,75,131,16.55,
120,81,131,16.57,
118,80,131,16.58,
108,76,131,16.59,
104,82,130,16.60,
122,82,130,16.61,
121,80,129,16.62,
115,80,129,16.64,
127,84,128,16.65,
127,84,126,16.66,
111,74,125,16.67,
129,85,124,16.69,
226,85,124,16.70,
234,85,124,16.71,
236,90,124,16.74,
250,87,125,16.76,
227,83,125,16.78,
214,80,125,16.81,
212,80,126,16.83,
200,77,127,16.85,
198,77,128,16.87,
198,78,128,16.89,
204,79,129,16.91,
228,83,129,16.93,
218,81,129,16.95,
197,75,130,16.98,
188,75,130,17.00,
187,75,131,17.02,
187,75,131,17.03,
186,74,131,17.05,
178,73,132,17.07,
172,72,132,17.09,
201,78,132,17.11,
202,79,132,17.13,
214,81,132,17.15,
214,81,132,17.17,
216,80,132,17.19,
210,80,133,17.21,
211,80,133,17.23,
210,80,134,17.25,
201,78,134,17.27,
200,77,135,17.29,
197,78,135,17.31,
202,80,135,17.33,
219,82,136,17.35,
217,80,136,17.37,
204,78,137,17.40,
202,78,137,17.42,
210,80,137,17.44,
205,79,137,17.46,
196,77,137,17.48,
196,77,137,17.50,
195,78,137,17.52,
201,79,138,17.54,
204,79,138,17.56,
205,79,138,17.58,
202,77,138,17.60,
201,78,138,17.62,
192,75,137,17.64,
157,75,137,17.66,
184,75,137,17.68,
183,73,137,17.70,
175,71,137,17.71,
158,67,138,17.73,
151,65,137,17.75,
143,64,137,17.76,
141,63,137,17.78,
87,63,136,17.79,
101,75,136,17.81,
100,73,135,17.82,
99,73,135,17.83,
111,76,135,17.84,
115,78,134,17.85,
114,75,133,17.86,
107,73,133,17.87,
104,71,132,17.88,
101,71,132,17.89,
105,72,130,17.90,
131,83,130,17.91,
193,81,129,17.92,
180,78,128,17.94,
181,78,127,17.96,
212,81,126,17.98,
212,79,125,18.00,
196,75,125,18.02,
187,74,126,18.04,
188,74,126,18.06,
188,74,127,18.08,
186,73,127,18.10,
190,75,127,18.12,
173,69,128,18.14,
165,70,128,18.15,
226,82,129,18.17,
181,68,129,18.19,
162,69,130,18.21,
178,72,130,18.23,
178,72,131,18.24,
177,72,132,18.26,
177,73,132,18.28,
172,71,133,18.30,
173,69,133,18.32,
159,68,134,18.33,
159,67,134,18.35,
190,76,134,18.37,
180,67,134,18.38,
172,83,133,18.40,
219,75,133,18.42,
199,74,133,18.44,
192,72,133,18.46,
175,73,133,18.48,
190,75,133,18.50,
183,73,132,18.52,
178,72,132,18.54,
178,73,132,18.55,
222,72,132,18.57,
232,71,132,18.59,
218,67,133,18.61,
194,64,133,18.64,
189,64,134,18.66,
187,65,135,18.68,
188,66,135,18.69,
144,69,135,18.71,
169,78,136,18.73,
181,78,136,18.74,
189,80,137,18.76,
202,79,137,18.78,
182,76,137,18.80,
186,75,137,18.82,
182,73,137,18.84,
172,71,136,18.86,
163,72,136,18.87,
167,71,136,18.89,
187,81,136,18.91,
209,82,136,18.92,
214,82,135,18.94,
209,81,135,18.97,
199,78,135,18.99,
196,77,135,19.01,
188,75,135,19.03,
185,75,135,19.05,
183,74,136,19.07,
178,74,136,19.08,
181,75,137,19.10,
189,77,137,19.12,
183,75,138,19.14,
178,74,137,19.16,
185,76,137,19.17,
168,72,137,19.19,
173,72,136,19.21,
173,74,136,19.23,
168,71,135,19.25,
166,70,135,19.26,
157,67,135,19.28,
173,70,135,19.30,
173,74,135,19.31,
176,72,135,19.33,
173,75,134,19.35,
221,83,134,19.36,
210,81,134,19.39,
193,77,134,19.41,
196,78,133,19.43,
201,78,133,19.45,
209,78,133,19.47,
216,79,134,19.49,
211,78,134,19.51,
204,77,135,19.53,
205,77,135,19.55,
204,77,135,19.57,
203,76,136,19.59,
203,76,136,19.61,
199,67,136,19.63,
165,76,136,19.65,
205,78,136,19.67,
197,75,136,19.69,
197,75,136,19.71,
188,73,137,19.73,
183,72,137,19.75,
172,70,137,19.77,
163,67,137,19.79,
162,69,137,19.80,
176,70,137,19.82,
191,75,137,19.84,
202,76,137,19.85,
183,70,138,19.87,
159,65,138,19.89,
163,83,138,19.91,
183,71,138,19.93,
204,68,138,19.95,
165,69,138,19.97,
170,70,138,19.99,
171,69,138,20.00,
171,69,137,20.02,
169,70,137,20.04,
197,75,137,20.05,
188,73,137,20.07,
179,71,137,20.09,
180,72,137,20.11,
176,71,137,20.13,
179,71,137,20.15,
179,71,137,20.16,
179,72,137,20.18,
174,70,137,20.20,
197,75,136,20.22,
200,81,136,20.24,
159,66,137,20.26,
195,74,137,20.28,
188,70,137,20.29,
173,69,138,20.31,
173,71,138,20.33,
192,74,138,20.35,
214,82,138,20.37,
222,80,138,20.38,
213,77,138,20.41,
197,75,138,20.43,
200,82,138,20.45,
221,80,138,20.47,
213,77,137,20.49,
190,74,137,20.51,
181,71,137,20.53,
180,70,137,20.55,
173,78,137,20.57,
209,78,137,20.59,
214,76,137,20.61,
202,77,137,20.63,
203,75,137,20.65,
226,81,137,20.67,
220,79,137,20.69,
167,68,138,20.71,
158,65,138,20.73,
86,61,139,20.75,
84,63,138,20.76,
83,64,138,20.77,
126,89,137,20.78,
139,81,137,20.79,
129,79,136,20.80,
120,77,135,20.82,
120,78,134,20.83,
155,95,133,20.84,
157,84,134,20.86,
168,81,134,20.87,
166,79,135,20.89,
189,78,135,20.90,
172,74,135,20.92,
163,73,135,20.94,
168,86,135,20.96,
198,79,135,20.97,
185,78,135,20.99,
180,77,134,21.01,
179,78,134,21.03,
219,86,134,21.05,
199,81,134,21.07,
189,79,134,21.09,
200,80,134,21.11,
202,78,134,21.13,
169,80,135,21.15,
