
Stage_Workout (min),Distance(km),Speed(km/h),Watts ,HR ,RPM 
30.6,16.981,33.52,172,147,93
30.7,17.042,39.46,265,138,87
30.8,17.107,39.53,266,134,84
30.9,17.172,38.21,243,134,76
31.0,17.233,37.05,224,137,77
31.1,17.295,37.11,225,139,78
31.2,17.357,36.35,213,138,75
31.3,17.419,38.90,255,139,85
31.4,17.483,37.72,235,137,77
31.5,17.545,36.23,211,139,71
31.6,17.607,39.19,260,141,76
31.7,17.672,39.46,265,144,74
31.8,17.742,42.46,323,149,82
31.9,17.813,42.49,324,150,83
32.0,17.884,42.49,324,151,82
32.1,17.956,45.03,381,152,74
32.2,18.030,43.10,337,155,74
32.3,18.100,41.62,306,156,75
32.4,18.167,40.33,281,157,72
32.5,18.235,39.73,270,159,72
32.6,18.304,41.76,309,160,75
32.7,18.373,42.02,314,162,76
32.8,18.443,42.29,320,164,76
32.9,18.514,42.46,323,162,76
33.0,18.583,40.80,290,160,74
33.1,18.653,43.60,348,160,83
33.2,18.728,44.77,375,161,82
33.3,18.801,44.18,361,163,84
33.4,18.873,41.33,300,167,73
33.5,18.945,45.80,400,168,95
33.6,19.003,32.28,156,165,96
33.7,19.056,31.56,147,155,99
33.8,19.109,30.70,137,158,93
Stage_08_Total,
Stage distance (km),2.562,
Speed Max (km/h),50.75,
Watts Max,401
HR Max,169
RPM Max,102
KCal,72
33.9,19.161,31.30,144,160,98
34.0,19.212,28.90,117,159,106
34.1,19.254,24.55,77,152,106
34.2,19.295,24.67,78,151,119
34.3,19.338,25.99,89,141,116
34.4,19.380,25.05,81,135,120
34.5,19.422,24.55,77,134,118
34.6,19.463,25.41,84,127,127
34.7,19.508,26.21,91,130,175
34.8,19.552,26.21,91,141,175
34.9,19.595,26.21,91,152,169
35.0,19.640,27.51,103,158,134
35.1,19.685,26.77,96,155,137
35.2,19.730,26.21,91,153,163
35.3,19.774,26.21,91,156,169
35.4,19.817,26.21,91,162,163
35.5,19.863,26.77,96,164,133
35.6,19.907,26.32,92,161,125
35.7,19.950,23.09,66,157,162
35.8,19.987,21.43,55,158,162
35.9,20.023,22.51,62,163,157
36.0,20.062,22.80,64,166,134
36.1,20.101,25.52,85,165,117
36.2,20.152,31.56,147,160,160
36.3,20.200,27.51,103,158,154
36.4,20.246,26.87,97,160,154
36.5,20.290,24.79,79,159,114
36.6,20.331,25.63,86,153,120
36.7,20.375,26.21,91,152,162
36.8,20.420,27.92,107,155,157
36.9,20.467,27.92,107,159,159
37.0,20.513,27.29,101,160,101
37.1,20.573,37.59,233,160,91
37.2,20.633,34.52,186,158,84
37.3,20.690,34.37,184,154,82
37.4,20.747,32.81,163,150,78
Stage_09_Total,
Stage distance (km),1.666,
Speed Max (km/h),50.75,
Watts Max,236
HR Max,167
RPM Max,176
KCal,27
37.5,20.801,32.28,156,149,72
37.6,20.859,35.90,206,147,68
37.7,20.923,39.19,260,142,79
37.8,20.986,37.55,232,139,77
37.9,21.050,39.96,274,138,78
38.0,21.114,37.48,231,138,75
38.1,21.178,38.16,242,139,73
38.2,21.242,41.22,298,142,75
38.3,21.311,41.67,307,144,76
38.4,21.380,41.81,310,145,75
38.5,21.449,40.38,282,148,74
38.6,21.517,42.05,315,150,76
38.7,21.584,40.01,275,153,74
38.8,21.652,40.12,277,157,73
38.9,21.719,40.85,291,158,74
39.0,21.787,41.12,296,160,73
39.1,21.856,41.36,301,163,76
39.2,21.930,45.11,383,164,77
39.3,22.005,44.77,375,165,78
39.4,22.079,44.95,379,167,77
39.5,22.154,45.40,390,167,77
39.6,22.229,44.60,371,168,73
39.7,22.303,44.18,361,168,73
39.8,22.375,43.00,335,169,70
39.9,22.447,42.97,334,170,72
40.0,22.518,42.73,329,170,72
40.1,22.590,43.86,354,170,75
40.2,22.664,44.98,380,171,77
40.3,22.740,44.95,379,173,76
40.4,22.815,44.82,376,172,74
40.5,22.889,45.43,391,171,77
40.6,22.964,44.26,363,171,74
40.7,23.037,43.65,349,172,71
40.8,23.109,43.70,350,172,77
40.9,23.173,35.69,203,172,74
41.0,23.231,34.87,191,172,73
41.1,23.290,36.79,220,169,83
Stage_10_Total,
Stage distance (km),2.507,
Speed Max (km/h),50.75,
Watts Max,412
HR Max,173
RPM Max,83
KCal,79
41.2,23.342,28.51,113,167,78
41.3,23.390,29.46,123,166,82
41.4,23.440,26.21,91,157,98
41.5,23.480,24.55,77,146,107
41.6,23.521,24.79,79,141,113
41.7,23.562,22.06,59,134,120
41.8,23.596,20.77,51,131,129
41.9,23.631,21.09,53,129,127
42.0,23.671,28.51,113,128,129
42.1,23.711,20.95,52,127,129
42.2,23.747,22.06,59,128,154
42.3,23.783,21.43,55,134,172
42.4,23.819,21.43,55,143,169
42.5,23.855,21.43,55,151,165
42.6,23.891,21.74,57,155,159
42.7,23.927,21.43,55,157,159
42.8,23.963,21.59,56,158,157
42.9,23.999,21.59,56,160,152
43.0,24.035,21.43,55,162,134
43.1,24.081,36.61,217,158,76
43.2,24.143,37.85,237,152,77
43.3,24.207,37.85,237,150,66
43.4,24.271,38.21,243,150,65
43.5,24.336,40.96,293,153,67
43.6,24.405,41.51,304,156,69
43.7,24.471,39.12,259,159,67
43.8,24.538,40.59,286,160,60
43.9,24.608,43.28,341,161,64
44.0,24.681,44.77,375,163,68
44.1,24.755,42.29,320,166,69
44.2,24.830,45.14,384,167,64
44.3,24.905,44.56,370,167,63
44.4,24.978,43.05,336,167,62
44.5,25.050,43.39,343,168,64
44.6,25.121,41.72,308,169,64
44.7,25.193,42.21,318,170,64
44.8,25.253,32.36,157,169,89
44.9,25.308,32.67,161,160,93
45.0,25.363,33.65,174,162,96
Stage_11_Total,
Stage distance (km),2.082,
Speed Max (km/h),50.75,
Watts Max,426
HR Max,170
RPM Max,172
KCal,49
45.1,25.418,32.12,154,161,88
45.2,25.474,35.08,194,156,95
45.3,25.533,35.50,200,150,107
45.4,25.593,36.35,213,144,106
45.5,25.654,36.87,221,143,107
45.6,25.715,35.28,197,142,103
45.7,25.783,43.65,349,142,103
45.8,25.856,43.95,356,143,102
45.9,25.927,40.22,279,143,105
46.0,25.992,39.19,260,143,103
46.1,26.064,45.40,390,139,106
46.2,26.140,44.65,372,140,103
46.3,26.214,44.90,378,144,104
46.4,26.288,44.77,375,147,101
46.5,26.363,44.90,378,145,102
46.6,26.438,44.65,372,148,102
46.7,26.513,46.09,407,157,106
46.8,26.590,46.30,413,159,109
46.9,26.667,46.13,408,159,106
47.0,26.745,48.44,471,159,95
47.1,26.823,45.06,382,159,87
47.2,26.894,41.76,309,162,88
47.3,26.964,42.39,322,165,86
47.4,27.035,42.92,333,166,91
47.5,27.104,40.27,280,166,82
47.6,27.169,35.50,200,166,63
47.7,27.220,28.03,108,154,62
47.8,27.267,29.83,127,153,66
47.9,27.315,27.92,107,153,62
48.0,27.363,29.54,124,143,69
Stage_12_Total,
Stage distance (km),2.015,
Speed Max (km/h),50.75,
Watts Max,471
HR Max,166
RPM Max,111
KCal,62
48.1,27.413,32.12,154,139,77
48.2,27.467,31.64,148,134,78
48.3,27.521,32.99,165,132,73
48.4,27.579,36.08,209,132,65
48.5,27.635,32.36,157,129,56
48.6,27.693,34.60,187,127,58
48.7,27.753,37.05,224,126,62
48.8,27.814,36.98,223,127,62
48.9,27.875,36.61,217,128,63
49.0,27.935,34.73,189,131,58
49.1,27.994,39.19,260,131,61
49.2,28.060,39.67,269,132,60
49.3,28.126,38.72,252,134,55
49.4,28.190,39.01,257,133,60
49.5,28.276,53.55,645,137,95
49.6,28.366,53.90,659,147,92
49.7,28.452,48.22,465,158,67
49.8,28.521,38.21,243,164,56
49.9,28.581,36.74,219,163,56
50.0,28.641,36.08,209,162,57
50.1,28.701,38.90,255,162,73
50.2,28.781,49.77,511,163,94
50.3,28.865,50.94,549,166,96
50.4,28.948,50.12,522,170,94
50.5,29.031,49.51,503,174,89
50.6,29.114,49.06,489,177,87
50.7,29.195,45.47,392,180,68
50.8,29.259,35.55,201,180,53
50.9,29.318,36.42,214,177,58
51.0,29.385,38.72,252,175,82
51.1,29.433,24.79,79,174,91
Stage_13_Total,
Stage distance (km),2.072,
Speed Max (km/h),54.06,
Watts Max,666
HR Max,180
RPM Max,100
KCal,66
51.2,29.472,24.67,78,169,103
51.3,29.514,22.51,62,167,141
51.4,29.552,27.71,105,165,143
51.5,29.605,32.89,164,165,152
51.6,29.656,28.32,111,165,157
51.7,29.701,27.51,103,167,156
51.8,29.746,26.10,90,167,125
51.9,29.789,31.14,142,161,67
52.0,29.846,35.28,197,154,61
52.1,29.906,35.69,203,149,63
52.2,29.965,35.76,204,146,64
52.3,30.027,37.37,229,144,68
52.4,30.088,36.35,213,140,64
52.5,30.152,39.01,257,140,60
52.6,30.220,41.26,299,143,65
52.7,30.290,41.33,300,144,68
52.8,30.366,47.58,447,147,64
52.9,30.444,46.82,426,153,63
53.0,30.522,47.70,450,159,66
53.1,30.600,46.58,420,163,66
53.2,30.678,45.97,404,165,61
53.3,30.756,46.63,421,168,64
53.4,30.830,43.33,342,169,57
53.5,30.908,52.24,595,169,97
53.6,30.978,40.54,285,169,147
53.7,31.039,34.87,191,170,153
53.8,31.089,27.92,107,171,157
53.9,31.135,27.19,100,171,152
54.0,31.180,27.08,99,171,156
54.1,31.224,25.52,85,170,118
