
Stage_Workout (min),Distance(mile),Speed (mph),Watts ,HR ,RPM 
38.0,12.463,24.79,273,0,75
Stage_06_Total,
Stage distance(mile),0.422,
Speed Max (mph),27.68,
Watts Max,370
HR Max,0
RPM Max,111
KCal,21
38.1,12.489,12.11,44,0,38
38.2,12.507,10.16,30,0,51
38.3,12.525,10.48,32,0,55
38.4,12.541,9.82,28,0,54
38.5,12.558,10.32,31,0,63
38.6,12.575,10.48,32,0,61
38.7,12.593,10.48,32,0,64
38.8,12.610,10.16,30,0,59
38.9,12.627,9.82,28,0,69
39.0,12.644,10.16,30,0,78
39.1,12.661,11.07,36,0,81
39.2,12.680,11.99,43,0,100
39.3,12.701,12.57,48,0,101
39.4,12.724,14.68,70,0,97
39.5,12.748,14.68,70,0,96
39.6,12.771,12.23,45,0,93
39.7,12.791,13.31,55,0,95
39.8,12.814,13.61,58,0,95
39.9,12.837,13.70,59,0,103
40.0,12.859,12.57,48,0,73
Stage_07_Total,
Stage distance(mile),0.396,
Speed Max (mph),27.68,
Watts Max,273
HR Max,0
RPM Max,108
KCal,6
40.1,12.889,21.62,190,0,110
40.2,12.929,24.34,260,0,112
40.3,12.970,25.31,289,0,117
40.4,13.013,25.85,306,0,116
40.5,13.055,25.91,308,0,119
40.6,13.098,25.82,305,0,121
40.7,13.140,25.82,305,0,119
40.8,13.183,26.00,311,0,122
40.9,13.226,25.67,300,0,120
41.0,13.269,24.55,266,0,104
Stage_08_Total,
Stage distance(mile),0.416,
Speed Max (mph),27.68,
Watts Max,332
HR Max,0
RPM Max,124
KCal,20
41.1,13.297,12.11,44,0,46
41.2,13.315,10.93,35,0,69
41.3,13.332,9.65,27,0,68
41.4,13.350,11.35,38,0,82
41.5,13.369,11.35,38,0,86
41.6,13.388,11.48,39,0,89
41.7,13.409,13.31,55,0,107
41.8,13.431,13.98,62,0,106
41.9,13.456,14.93,73,0,104
42.0,13.481,15.17,76,0,103
42.1,13.507,15.56,81,0,103
42.2,13.533,15.40,79,0,96
42.3,13.559,16.14,89,0,104
42.4,13.585,15.85,85,0,105
42.5,13.612,16.63,96,0,106
42.6,13.639,16.49,94,0,100
42.7,13.666,16.63,96,0,111
42.8,13.693,15.92,86,0,107
42.9,13.719,14.16,64,0,103
43.0,13.743,15.09,75,0,103
43.1,13.769,16.00,87,0,109
43.2,13.796,16.35,92,0,103
43.3,13.824,16.49,94,0,107
43.4,13.851,16.63,96,0,106
43.5,13.879,16.21,90,0,109
43.6,13.906,16.14,89,0,109
43.7,13.933,16.95,101,0,110
43.8,13.960,16.21,90,0,112
43.9,13.988,17.46,109,0,115
44.0,14.016,16.28,91,0,108
44.1,14.043,16.28,91,0,103
44.2,14.070,16.07,88,0,102
44.3,14.097,16.21,90,0,112
44.4,14.124,16.49,94,0,111
44.5,14.151,16.21,90,0,115
44.6,14.178,15.92,86,0,107
44.7,14.205,15.85,85,0,109
44.8,14.232,17.02,102,0,105
44.9,14.261,17.28,106,0,112
45.0,14.290,18.12,120,0,109
45.1,14.322,20.43,164,0,106
45.2,14.357,19.70,149,0,102
45.3,14.388,16.69,97,0,80
45.4,14.414,14.43,67,0,89
45.5,14.438,15.71,83,0,95
45.6,14.464,15.40,79,0,102
45.7,14.490,15.25,77,0,100
45.8,14.516,15.56,81,0,100
45.9,14.542,15.56,81,0,104
46.0,14.568,15.85,85,0,102
Stage_09_Total,
Stage distance(mile),1.297,
Speed Max (mph),27.68,
Watts Max,213
HR Max,0
RPM Max,115
KCal,29
46.1,14.596,18.24,122,0,117
46.2,14.629,21.04,177,0,111
46.3,14.665,21.27,182,0,112
46.4,14.700,21.44,186,0,110
46.5,14.735,21.32,183,0,117
46.6,14.772,22.46,210,0,117
46.7,14.809,21.40,185,0,115
46.8,14.846,22.66,215,0,116
46.9,14.884,23.21,229,0,117
47.0,14.924,23.51,237,0,114
47.1,14.962,22.58,213,0,116
47.2,15.000,23.47,236,0,116
47.3,15.039,23.47,236,0,113
47.4,15.079,23.62,240,0,110
47.5,15.118,23.76,244,0,112
47.6,15.157,22.69,216,0,114
47.7,15.196,23.62,240,0,112
47.8,15.233,22.25,205,0,115
47.9,15.269,21.96,198,0,115
48.0,15.306,22.77,218,0,113
Stage_10_Total,
Stage distance(mile),0.766,
Speed Max (mph),27.68,
Watts Max,247
HR Max,0
RPM Max,118
KCal,30
48.1,15.343,20.10,157,0,69
48.2,15.368,12.79,50,0,76
48.3,15.390,13.10,53,0,96
48.4,15.410,12.23,45,0,99
48.5,15.432,13.80,60,0,106
