RIDE SUMMARY,,,
Total Time,70.2, Minutes, 
362,104,127,2.17
339,106,127,2.19
354,108,127,2.21
358,108,128,2.23
353,107,129,2.25
353,107,130,2.28
352,106,131,2.3
347,105,132,2.32
211,79,134,2.34
210,80,135,2.36
221,82,135,2.38
227,82,136,2.4
219,81,136,2.42
232,80,136,2.44
232,80,135,2.46
231,80,135,2.48
227,79,135,2.5
226,78,134,2.52
409,113,134,2.54
397,113,133,2.56
429,113,133,2.58
397,111,133,2.6
390,113,133,2.63
395,112,134,2.65
394,111,134,2.67
385,110,136,2.7
376,109,137,2.72
318,73,138,2.74
187,72,140,2.77
187,73,140,2.78
193,75,140,2.8
201,75,141,2.82
202,76,141,2.84
206,76,141,2.86
206,76,140,2.88
206,76,139,2.89
217,75,138,2.91
201,76,137,2.93
205,77,136,2.95
210,77,135,2.97
212,76,135,2.99
213,77,135,3.01
218,78,135,3.02
208,77,134,3.04
227,79,134,3.06
220,78,133,3.08
212,78,133,3.1
213,79,132,3.12
198,79,132,3.14
194,78,132,3.16
207,79,131,3.17
215,79,131,3.19
215,79,131,3.21
212,78,130,3.23
207,77,130,3.25
203,77,130,3.27
203,77,130,3.29
199,76,129,3.3
198,75,129,3.32
199,76,128,3.34
198,77,128,3.36
200,76,128,3.38
198,75,127,3.4
259,75,127,3.41
249,75,127,3.43
246,76,126,3.45
262,76,126,3.47
262,76,126,3.49
261,76,126,3.51
260,76,126,3.53
258,76,126,3.55
258,76,126,3.57
254,75,126,3.59
250,75,126,3.61
250,75,126,3.63
253,75,127,3.65
253,75,126,3.67
258,75,126,3.69
252,76,127,3.71
254,76,127,3.73
257,76,127,3.75
262,76,127,3.77
256,76,128,3.79
254,75,128,3.81
251,76,128,3.83
256,77,128,3.85
260,76,128,3.87
255,76,128,3.89
249,75,128,3.91
249,75,128,3.93
247,75,129,3.95
244,75,129,3.97
228,75,130,3.99
241,75,130,4.01
227,75,130,4.03
227,75,130,4.05
205,75,130,4.07
217,85,129,4.09
259,85,129,4.11
239,85,128,4.13
240,84,128,4.15
241,85,128,4.17
250,86,128,4.18
259,86,128,4.2
259,86,128,4.22
258,86,129,4.24
251,85,129,4.26
249,84,129,4.28
247,85,129,4.3
251,85,129,4.32
269,85,129,4.34
270,86,129,4.36
255,87,130,4.38
277,85,130,4.41
263,85,130,4.43
249,85,130,4.45
250,84,129,4.47
259,84,129,4.49
253,84,129,4.51
258,85,129,4.53
263,85,129,4.55
244,85,129,4.57
261,85,129,4.59
256,84,130,4.61
256,84,130,4.63
250,83,130,4.65
257,85,130,4.67
262,86,130,4.69
266,85,130,4.71
256,85,130,4.73
260,85,130,4.75
260,85,130,4.77
260,86,130,4.79
265,86,130,4.81
264,85,130,4.83
252,83,130,4.85
249,83,131,4.87
245,83,131,4.89
249,83,131,4.91
249,84,132,4.93
256,85,132,4.95
260,85,132,4.97
259,84,132,4.99
255,84,132,5.01
255,85,132,5.03
258,84,132,5.05
249,83,132,5.07
249,83,132,5.09
250,84,132,5.11
253,84,132,5.13
258,85,132,5.15
257,84,132,5.17
250,84,132,5.19
247,84,133,5.21
267,84,133,5.22
247,84,132,5.24
248,84,132,5.26
245,83,132,5.28
250,83,132,5.3
252,83,132,5.32
259,84,132,5.34
260,85,132,5.36
251,85,132,5.38
266,86,132,5.4
257,88,131,5.42
279,88,131,5.44
266,88,131,5.47
251,87,132,5.49
270,86,132,5.51
265,85,132,5.53
310,75,133,5.55
254,75,133,5.57
267,76,133,5.59
262,76,133,5.61
250,74,133,5.63
250,74,133,5.65
250,74,132,5.67
250,74,132,5.69
250,74,133,5.71
251,75,132,5.73
256,75,132,5.75
256,75,132,5.77
256,75,132,5.79
257,76,132,5.81
262,76,132,5.83
260,75,132,5.85
255,74,132,5.87
250,74,132,5.89
249,73,132,5.91
247,73,132,5.93
245,74,132,5.95
250,75,132,5.97
256,75,132,5.99
256,75,132,6.01
255,75,131,6.03
255,75,131,6.05
255,75,131,6.07
255,75,131,6.09
272,75,131,6.11
271,75,131,6.13
273,75,131,6.15
273,76,131,6.17
279,76,131,6.19
260,76,131,6.21
278,76,131,6.23
278,76,131,6.25
276,75,130,6.27
272,75,130,6.29
251,74,131,6.31
264,75,131,6.33
270,75,132,6.35
270,76,132,6.37
270,75,132,6.39
274,75,132,6.41
270,76,132,6.43
281,77,132,6.45
275,80,133,6.47
260,81,132,6.49
271,82,132,6.51
272,83,133,6.53
277,83,132,6.55
277,83,132,6.57
276,84,133,6.6
283,84,133,6.62
283,84,133,6.64
283,84,133,6.66
283,84,133,6.68
282,83,133,6.7
