
RIDE SUMMARY,
Total Time, 45.3, Minutes, 
Total Distance, 21.98, MI, 
AVG Power, 243, 
MAX Power, 601, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 109, 
MAX HR, 130, 
CAL, 659, 

STAGE_1_SUMMARY,
Stage Time,  5.7, Minutes, 
Total Distance, 3.44, MI, 
AVG Power, 303, 
MAX Power, 412, 
AVG HR, 105, 
MAX HR, 119, 

STAGE_2_SUMMARY,
Stage Time,  1.5, Minutes, 
Total Distance, 1.04, MI, 
AVG Power, 353, 
MAX Power, 601, 
AVG HR, 120, 
MAX HR, 125, 

STAGE_3_SUMMARY,
Stage Time,  1.8, Minutes, 
Total Distance, 1.40, MI, 
AVG Power, 389, 
MAX Power, 439, 
AVG HR, 121, 
MAX HR, 126, 

STAGE_4_SUMMARY,
Stage Time,  3.7, Minutes, 
Total Distance, 2.61, MI, 
AVG Power, 354, 
MAX Power, 501, 
AVG HR, 122, 
MAX HR, 130, 

STAGE_5_SUMMARY,
Stage Time,  2.5, Minutes, 
Total Distance, 1.68, MI, 
AVG Power, 337, 
MAX Power, 428, 
AVG HR, 123, 
MAX HR, 129, 

STAGE_6_SUMMARY,
Stage Time,  8.9, Minutes, 
Total Distance, 5.59, MI, 
AVG Power, 313, 
MAX Power, 390, 
AVG HR, 124, 
MAX HR, 129, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
362,90,129,12.92,
363,91,130,12.96,
360,67,130,13.00,
116,48,130,13.03,
107,46,130,13.06,
89,39,130,13.07,
77,39,129,13.08,
85,39,128,13.09,
97,43,127,13.09,
94,42,126,13.10,
85,55,125,13.11,
148,78,124,13.12,
218,74,124,13.13,
236,81,123,13.15,
224,80,123,13.17,
207,79,123,13.19,
218,81,123,13.21,
199,79,123,13.24,
202,91,123,13.26,
272,90,123,13.28,
268,90,123,13.30,
266,88,123,13.33,
258,87,123,13.36,
266,89,123,13.38,
262,88,122,13.41,
293,95,122,13.44,
278,92,122,13.46,
277,91,122,13.49,
273,93,122,13.52,
321,103,122,13.55,
325,101,122,13.58,
319,100,122,13.61,
282,97,122,13.64,
296,95,123,13.67,
276,94,122,13.70,
278,93,122,13.73,
279,96,122,13.76,
300,99,123,13.78,
314,102,123,13.81,
319,102,122,13.85,
314,99,122,13.88,
259,88,122,13.91,
273,104,122,13.94,
324,105,122,13.96,
304,99,122,13.99,
317,102,122,14.03,
315,100,122,14.06,
291,96,122,14.09,
288,97,122,14.12,
290,96,121,14.15,
340,97,121,14.18,
366,99,121,14.21,
358,100,121,14.25,
358,98,121,14.28,
349,95,122,14.32,
309,93,122,14.36,
313,95,122,14.39,
326,96,122,14.42,
345,96,122,14.45,
343,93,123,14.49,
323,91,123,14.52,
323,91,123,14.55,
310,91,123,14.59,
320,91,123,14.62,
364,96,123,14.65,
349,96,123,14.68,
348,95,123,14.72,
349,97,123,14.75,
351,96,123,14.79,
347,96,123,14.82,
345,95,123,14.86,
325,92,123,14.89,
317,90,124,14.93,
381,90,124,14.96,
397,92,124,15.00,
404,93,124,15.03,
402,92,124,15.07,
389,91,125,15.11,
389,91,125,15.15,
389,91,125,15.19,
382,90,126,15.23,
380,89,127,15.27,
376,90,127,15.31,
374,89,127,15.35,
373,87,128,15.38,
428,89,128,15.42,
367,87,128,15.46,
183,88,128,15.50,
226,99,128,15.53,
244,84,128,15.55,
180,98,128,15.57,
221,97,127,15.59,
213,97,127,15.61,
219,98,126,15.63,
219,99,125,15.65,
213,96,125,15.68,
217,97,125,15.70,
216,94,124,15.72,
206,92,124,15.74,
191,90,0,15.76,
199,92,0,15.78,
199,92,124,15.80,
202,113,124,15.82,
277,109,124,15.84,
210,95,124,15.87,
253,108,124,15.89,
239,91,124,15.91,
191,103,124,15.94,
210,83,124,15.96,
120,48,123,15.98,
49,44,123,16.00,
48,42,122,16.00,
46,42,121,16.01,
45,43,120,16.01,
62,47,119,16.02,
42,41,119,16.02,
43,41,0,16.03,
54,46,118,16.03,
58,47,117,16.04,
42,42,116,16.04,
138,69,116,16.05,
194,79,116,16.06,
243,90,116,16.07,
273,89,115,16.10,
270,89,115,16.12,
269,89,114,16.15,
268,89,113,16.18,
280,91,113,16.20,
290,93,113,16.23,
288,91,113,16.26,
275,90,113,16.29,
274,89,113,16.31,
275,90,113,16.33,
273,89,114,16.36,
259,87,115,16.39,
259,87,115,16.42,
250,88,115,16.44,
249,85,116,16.47,
241,84,116,16.49,
243,87,116,16.52,
291,94,116,16.54,
290,82,117,16.57,
229,74,117,16.60,
314,90,117,16.62,
336,86,117,16.65,
339,92,117,16.68,
326,92,117,16.71,
325,91,117,16.74,
308,89,117,16.77,
321,95,117,16.81,
344,96,118,16.84,
326,97,118,16.87,
330,95,118,16.90,
330,92,118,16.94,
333,94,119,16.97,
328,93,120,17.00,
339,95,120,17.03,
339,95,120,17.07,
322,92,121,17.10,
321,91,121,17.14,
315,93,121,17.17,
320,91,121,17.20,
314,91,122,17.23,
315,95,122,17.26,
338,96,123,17.29,
304,81,123,17.33,
330,94,123,17.36,
329,93,123,17.39,
324,93,123,17.42,
312,91,123,17.46,
319,90,123,17.49,
308,91,123,17.52,
321,94,123,17.55,
331,93,123,17.58,
330,94,123,17.61,
310,92,124,17.65,
312,91,124,17.68,
310,91,124,17.71,
309,92,124,17.74,
322,92,125,17.77,
324,93,125,17.80,
312,91,125,17.84,
330,95,125,17.87,
333,96,125,17.90,
341,96,125,17.93,
340,95,125,17.97,
317,91,125,18.00,
312,91,126,18.04,
324,93,126,18.07,
315,90,126,18.10,
300,89,126,18.13,
300,89,126,18.16,
312,92,127,18.19,
312,91,126,18.22,
312,92,126,18.25,
321,95,126,18.28,
336,95,126,18.32,
334,93,126,18.35,
324,93,126,18.38,
312,91,126,18.42,
302,90,126,18.45,
307,86,126,18.48,
353,98,126,18.51,
336,95,126,18.54,
323,91,126,18.57,
311,82,126,18.61,
259,79,126,18.64,
330,94,126,18.67,
318,92,126,18.69,
316,91,126,18.73,
312,91,126,18.76,
312,91,127,18.79,
313,92,127,18.82,
316,91,127,18.85,
311,90,127,18.88,
302,90,127,18.92,
302,89,127,18.95,
307,90,127,18.98,
307,90,127,19.01,
307,90,127,19.04,
307,90,127,19.07,
312,91,127,19.10,
313,91,127,19.13,
310,91,127,19.16,
309,88,127,19.19,
297,89,127,19.22,
297,89,127,19.25,
314,92,127,19.28,
314,92,127,19.31,
310,91,127,19.35,
307,90,127,19.38,
301,88,127,19.41,
292,90,126,19.44,
315,92,126,19.47,
319,94,126,19.50,
315,93,127,19.53,
316,94,127,19.56,
317,93,128,19.59,
335,91,128,19.63,
304,93,128,19.66,
305,92,128,19.69,
318,92,128,19.72,
306,92,127,19.75,
324,92,127,19.78,
321,92,126,19.81,
312,89,126,19.85,
282,86,125,19.88,
295,87,126,19.91,
318,103,126,19.94,
364,96,126,19.97,
334,93,126,20.00,
319,92,127,20.04,
319,93,127,20.07,
338,96,127,20.10,
335,94,127,20.13,
329,92,127,20.17,
314,75,127,20.20,
314,91,127,20.23,
314,91,0,20.26,
314,91,127,20.29,
314,91,127,20.32,
312,90,127,20.35,
306,89,127,20.38,
300,90,127,20.41,
307,93,127,20.44,
330,94,127,20.47,
329,91,127,20.51,
278,85,127,20.54,
285,87,127,20.57,
297,88,128,20.60,
297,89,128,20.63,
292,88,128,20.66,
302,88,128,20.69,
307,89,128,20.72,
292,87,128,20.75,
299,88,128,20.78,
291,90,128,20.81,
295,88,128,20.84,
308,91,128,20.87,
308,91,128,20.90,
320,93,128,20.93,
326,93,128,20.96,
323,94,128,20.99,
306,91,128,21.02,
317,91,128,21.05,
301,90,128,21.08,
300,90,128,21.12,
303,89,128,21.15,
296,91,128,21.18,
311,94,128,21.21,
